Match Number,Round Number,Date Time - BST,Local Time,Location,Home Team,Away Team,Group,Home Goals,Away Goals,Home Points,Away Points,,,Local Time,
77,Round of 32,30/06/2026 22:00,30/06/2026 17:00,New York/New Jersey Stadium,1I,3CDFGH,,,,,,,,30/06/2026 17:00,(UTC-4)
79,Round of 32,01/07/2026 02:00,30/06/2026 18:00,Mexico City Stadium,1A,3CEFHI,,,,,,,,30/06/2026 18:00,(UTC-7)
80,Round of 32,01/07/2026 17:00,01/07/2026 12:00,Atlanta Stadium,1L,3EHIJK,,,,,,,,01/07/2026 12:00,(UTC-4)
82,Round of 32,01/07/2026 21:00,01/07/2026 13:00,Seattle Stadium,1G,3AEHIJ,,,,,,,,01/07/2026 13:00,(UTC-7)
81,Round of 32,02/07/2026 01:00,01/07/2026 17:00,San Francisco Bay Area Stadium,1D,3BEFIJ,,,,,,,,01/07/2026 17:00,(UTC-7)
84,Round of 32,02/07/2026 20:00,01/07/2026 20:00,Los Angeles Stadium,1H,2J,,,,,,,,01/07/2026 20:00,(UTC-7)
83,Round of 32,03/07/2026 00:00,02/07/2026 19:00,Toronto Stadium,2K,2L,,,,,,,,02/07/2026 19:00,(UTC-4)
85,Round of 32,03/07/2026 04:00,02/07/2026 20:00,BC Place Vancouver,1B,3EFGIJ,,,,,,,,02/07/2026 20:00,(UTC-7)
88,Round of 32,03/07/2026 19:00,03/07/2026 13:00,Dallas Stadium,2D,2G,,,,,,,,03/07/2026 13:00,(UTC-5)
86,Round of 32,03/07/2026 23:00,03/07/2026 18:00,Miami Stadium,1J,2H,,,,,,,,03/07/2026 18:00,(UTC-4)
87,Round of 32,04/07/2026 02:30,03/07/2026 20:30,Kansas City Stadium,1K,3DEIJL,,,,,,,,03/07/2026 20:30,(UTC-5)
90,Round of 16,04/07/2026 18:00,04/07/2026 12:00,Houston Stadium,To be announced,To be announced,,,,,,,,04/07/2026 12:00,(UTC-5)
89,Round of 16,04/07/2026 22:00,04/07/2026 17:00,Philadelphia Stadium,To be announced,To be announced,,,,,,,,04/07/2026 17:00,(UTC-4)
91,Round of 16,05/07/2026 21:00,05/07/2026 16:00,New York/New Jersey Stadium,To be announced,To be announced,,,,,,,,05/07/2026 16:00,(UTC-4)
92,Round of 16,06/07/2026 01:00,05/07/2026 18:00,Mexico City Stadium,To be announced,To be announced,,,,,,,,05/07/2026 18:00,(UTC-6)
93,Round of 16,06/07/2026 20:00,06/07/2026 14:00,Dallas Stadium,To be announced,To be announced,,,,,,,,06/07/2026 14:00,(UTC-5)
94,Round of 16,07/07/2026 01:00,06/07/2026 16:00,Seattle Stadium,To be announced,To be announced,,,,,,,,06/07/2026 16:00,(UTC-7)
95,Round of 16,07/07/2026 17:00,07/07/2026 12:00,Atlanta Stadium,To be announced,To be announced,,,,,,,,07/07/2026 12:00,(UTC-4)
96,Round of 16,07/07/2026 21:00,07/07/2026 13:00,BC Place Vancouver,To be announced,To be announced,,,,,,,,07/07/2026 13:00,(UTC-7)
97,Quarter Finals,09/07/2026 21:00,09/07/2026 16:00,Boston Stadium,To be announced,To be announced,,,,,,,,09/07/2026 16:00,(UTC-4)
98,Quarter Finals,10/07/2026 20:00,10/07/2026 12:00,Los Angeles Stadium,To be announced,To be announced,,,,,,,,10/07/2026 12:00,(UTC-7)
99,Quarter Finals,11/07/2026 22:00,11/07/2026 17:00,Miami Stadium,To be announced,To be announced,,,,,,,,11/07/2026 17:00,(UTC-4)
100,Quarter Finals,12/07/2026 02:00,11/07/2026 20:00,Kansas City Stadium,To be announced,To be announced,,,,,,,,11/07/2026 20:00,(UTC-5)
101,Semi Finals,14/07/2026 20:00,14/07/2026 14:00,Dallas Stadium,To be announced,To be announced,,,,,,,,14/07/2026 14:00,(UTC-5)
102,Semi Finals,15/07/2026 20:00,15/07/2026 15:00,Atlanta Stadium,To be announced,To be announced,,,,,,,,15/07/2026 15:00,(UTC-4)
103,Finals,18/07/2026 22:00,18/07/2026 17:00,Miami Stadium,To be announced,To be announced,,,,,,,,18/07/2026 17:00,(UTC-4)
104,Finals,19/07/2026 20:00,19/07/2026 15:00,New York/New Jersey Stadium,To be announced,To be announced,,,,,,,,19/07/2026 15:00,(UTC-4)
